date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-07-09,TSLA,394.06,399.38,556780,362840,212,1248,273784892.0,254549028.0,0.6517,5.8868,8,0.0156,0.0,0.0044,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,WMT,113.1,113.15,68847,24030,0,0,7205882.0,6560362.0,0.349,,7,0.0156,0.0312,0.0044,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-09,XOM,141.13,143.44,76566,15767,1,19,9391697.0,3139730.0,0.2059,19.0,7,0.0234,0.0,0.0066,15.84000015258789,26.90999984741211,45.9900016784668,7543.64013671875,26206.890625
2026-07-10,AAPL,316.22,310.51,538739,323757,0,0,227557158.0,24076994.0,0.601,,8,0.0156,0.0312,0.0038,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,AMZN,247.04,239.82,362544,123980,0,0,199350036.0,32051656.0,0.342,,8,0.0234,0.0,0.0056,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,GOOGL,358.89,354.31,178088,81557,0,0,70121684.0,20550449.0,0.458,,8,0.0156,0.0312,0.0038,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,JPM,335.47,331.46,31642,12352,565,109,60476487.0,2697902.0,0.3904,0.1929,7,0.0156,0.0,0.0043,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,META,631.48,583.99,569369,194602,0,21,936709916.0,72711275.0,0.3418,,8,0.0156,-0.0312,0.0038,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,MSFT,384.36,374.45,240927,113144,0,0,102779669.0,176631650.0,0.4696,,8,0.0156,0.0,0.0038,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,NVDA,202.78,204.46,1846535,690245,0,0,378373472.0,104127895.0,0.3738,,8,0.0156,-0.0312,0.0038,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,TSLA,406.55,393.99,1423758,697046,212,1246,1035788765.0,231830623.0,0.4896,5.8774,8,0.0156,0.0,0.0043,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,WMT,112.21,111.24,42986,44925,0,0,5047858.0,33095053.0,1.0451,,7,0.0156,0.0,0.0043,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-10,XOM,137.46,139.66,51243,13123,1,19,4550168.0,4985888.0,0.2561,19.0,7,0.0156,0.0,0.0043,15.029999732971191,24.889999389648438,44.66999816894531,7575.39013671875,26281.609375
2026-07-13,AAPL,315.32,314.72,308631,162886,0,0,137089803.0,20418306.0,0.5278,,8,0.0156,0.0,0.0041,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,AMZN,245.34,249.55,231225,82249,0,0,99552877.0,31742714.0,0.3557,,8,0.0156,-0.0312,0.0041,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
2026-07-13,GOOGL,357.18,357.53,105896,51404,0,0,47457305.0,15121511.0,0.4854,,8,0.0156,0.0,0.0041,17.15999984741211,27.299999237060547,60.25,7515.33984375,25873.1796875
